动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
居中于页面（脚本）,https://getquicker.net/Sharedaction?code=2f444d22-d3f6-4ac5-f1b8-08dd1471b37f,将所选对象居中于当前页面，类似于CDR中的P键,Adobe Illustrator,Q-Qker,https://getquicker.net/User/684200/Q-Qker,2.4 KB,2024-12-04 23:45,0,,2024-12-05
预览文件夹图片,https://getquicker.net/Sharedaction?code=c327c6d2-a976-4412-f1b7-08dd1471b37f,预览文件夹下的图片，不包含子文件夹,通用,冰雷木子,https://getquicker.net/User/749380/%E5%86%B0%E9%9B%B7%E6%9C%A8%E5%AD%90,24.9 KB,2024-12-04 22:41,0,,2024-12-05
【云朔】文件夹美化,https://getquicker.net/Sharedaction?code=eefa2487-12b9-4367-310e-08dd0af731a9,快捷设置文件夹的图标、显示名称、标记、备注,Windows 资源管理器,白云朔,https://getquicker.net/User/1144232/%E7%99%BD%E4%BA%91%E6%9C%94,231.4 KB,2024-11-22 21:11,17,"本次更新内容
更新优化：
1.增加了在检索图标数量过大时，跳转到指定页的功能。
解决问题：
1.修复了检索图标文件只选中一个格式时，无法检索到对应格式的问题。
2.修复了文件夹视图的非详细信息时，无法执行显示详细功能的问题。",2024-12-05
Zotero7菜单,https://getquicker.net/Sharedaction?code=4f6c26c0-8f5c-422a-cb92-08dccce7aaee,利用菜单快速选择zotero侧栏图标及打开多层菜单选项,Zotero,BrainKE,https://getquicker.net/User/199719/BrainKE,96.7 KB,2024-09-05 16:22,14,菜单增加“展示子分类条目”,2024-12-05
待办事项,https://getquicker.net/Sharedaction?code=c0510e3a-3786-4f39-32ff-08d91d10afcd,把要做的事情贴在屏幕上。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,615.2 KB,2021-05-23 17:54,137,【忽略】取消默认云同步。,2024-12-05
LOL自动接受,https://getquicker.net/Sharedaction?code=6ea75ab2-8405-40ed-0625-08dd1381ea3c,LOL自动点击接受,通用,【推荐使用】-接动作定制,https://getquicker.net/User/718736/%E3%80%90%E6%8E%A8%E8%8D%90%E4%BD%BF%E7%94%A8%E3%80%91-%E6%8E%A5%E5%8A%A8%E4%BD%9C%E5%AE%9A%E5%88%B6,8.8 KB,2024-12-04 17:15,0,,2024-12-05
sm19一键高亮,https://getquicker.net/Sharedaction?code=fe188936-0ca8-418c-0617-08dd1381ea3c,sm19一键高亮,SuperMemo 19,lysic,https://getquicker.net/User/52299/lysic,4.9 KB,2024-12-04 16:02,0,,2024-12-05
获取sm19源文件地址,https://getquicker.net/Sharedaction?code=ae61ede2-78de-4c37-0615-08dd1381ea3c,获取sm19源文件地址,SuperMemo 19,lysic,https://getquicker.net/User/52299/lysic,10.6 KB,2024-12-04 15:52,0,,2024-12-05
正则测试,https://getquicker.net/Sharedaction?code=9256ca7f-61c5-4519-3675-08dd1295b1db,测试下正则匹配结果是否正确,通用,墨尹琳,https://getquicker.net/User/173735/%E5%A2%A8%E5%B0%B9%E7%90%B3,34.5 KB,2024-12-02 18:39,1,"新增：
1.动态刷新（感谢大佬 @瞑空凌 给出的改进）
2.正则替换
3.收藏常用正则，及收藏夹输入列表
4.云端上传收藏
",2024-12-05
图片清理转换,https://getquicker.net/Sharedaction?code=12c18250-1566-41b0-d6ec-08da49b25a9a,调用PS清理图片元数据，或转换rgb|cmyk，理论上支持所有能PS打开的图片文件,Adobe Photoshop,luzc,https://getquicker.net/User/202952/luzc,25.4 KB,2022-06-09 18:32,2,修复bug,2024-12-05
