动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
示例:wpf好看的进度条,https://getquicker.net/Sharedaction?code=35b397fa-5b14-4311-1172-08dc6d6d23e1,"wpf好看的进度条,支持停止",通用,zdf153,https://getquicker.net/User/20184/zdf153,26.1 KB,2024-05-07 00:35,6,修复bug,2024-05-08
连续编辑,https://getquicker.net/Sharedaction?code=a75803a8-e4d9-4d4f-3331-08dc6e3171e5,对某个动作高频编辑/开发动作使用,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,17.9 KB,2024-05-07 18:22,4,图标优化,2024-05-08
极速预览,https://getquicker.net/Sharedaction?code=a2586cea-0743-449b-33a9-08db8f27f1ea,极速预览图片(gif)音频视频文档等,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,111.4 KB,2023-07-28 23:43,47,视频支持谷歌浏览器/打开,2024-05-08
UpdateIFs,https://getquicker.net/Sharedaction?code=f6297051-473e-4f4a-3472-08da7d9afa4f,"基于最新公布影响因子(2022), 为Zotero数据库每篇文献添加IF，便于用户侧重地阅读文献",Zotero,ttChen,https://getquicker.net/User/395924/ttChen,25.9 KB,2022-08-14 21:50,8,修复zotero 7 不支持IO.File问题。,2024-05-08
智核,https://getquicker.net/Sharedaction?code=197f0751-85c1-470c-eba9-08db754ee2c2,原名FlowGPT (AnyGPT)。免费的AI辅助工具、划词提问、翻译、写代码、发送到Flomo、Anki等等,通用,抄书侠(GM),https://getquicker.net/User/206328/%E6%8A%84%E4%B9%A6%E4%BE%A0(GM),727.7 KB,2023-06-26 19:07,181,加入新发布的DeepSeek国产大模型白嫖，获取token稍稍复杂一点点，需要登录后发起一个会话后再点击弹出按钮即可,2024-05-08
> Plugins,https://getquicker.net/Sharedaction?code=7fd2652c-5a5e-4417-fb1f-08db512831c2,打开 Photoshop Plugins 插件目录。,通用,Anlv,https://getquicker.net/User/392637/Anlv,74.4 KB,2023-05-11 11:03,17,fix,2024-05-08
示例:好看的进度条,https://getquicker.net/Sharedaction?code=a6e432de-3f5b-4208-96ce-08dc686ff279,示例:好看的进度条,通用,zdf153,https://getquicker.net/User/20184/zdf153,24.9 KB,2024-04-30 01:20,2,增加位置选择,2024-05-08
ceb转pdf,https://getquicker.net/Sharedaction?code=a49d1a54-a639-472e-3324-08dc6e3171e5,将选中的ceb文件转换为pdf文件,通用,浅沧,https://getquicker.net/User/23888/%E6%B5%85%E6%B2%A7,3.9 KB,2024-05-07 15:58,0,,2024-05-08
当前文档路径,https://getquicker.net/Sharedaction?code=ccb19de5-2fdd-42d5-e26a-08daf70dc81e,——定位当前文件位置。如果找到多个同名文件，打开everything。可识别软件：Office、Word、Excel、PPT、WPS、Photoshop、Illustrator（Ai）、Notepad2、记事本、XMind、Axure、Typora、Visual Studio、网易云音乐、360浏览器、2345看图王、PDF阅读器、画图等常用软件。,Windows 资源管理器,level1,https://getquicker.net/User/102977/level1,107.8 KB,2023-01-16 15:48,10,"功能：
1、支持HoneyView（更多情况）、BandiView、AutoCAD（更多情况）。
2、支持Directory Opus定位目录（文件夹）。

BUG：
1、修复剪映弹出“链接媒体”窗口，而不是编辑窗口，获取文件路径时，截图报错的问题。

优化：
1、Office Excel标题特殊处理后，变为“通用”模式。
2、优化剪映标题OCR的步骤。
3、自动标题OCR，已知软件的标题选区给到默认值。
4、取消窗口坐标保存到本地文档。",2024-05-08
另存窗口快速切换,https://getquicker.net/Sharedaction?code=dfccca6b-9432-4c2a-8da1-08dc64c8b533,——仿Listary,Windows 资源管理器,level1,https://getquicker.net/User/102977/level1,29.5 KB,2024-04-25 16:12,2,"功能：
1、资源管理器支持从Directory Opus获取路径。",2024-05-08
